## cols: tag rN RESULT mode|inf/f|sysFPS|totInf/s|tileFPS|tP50|tP90|tP99|fullFPS|fP50|fP90|e2eP50|e2eP90|tC0|tC1|out/in
# === SINGLE (tiling only, uncapped ceiling) ===
single r1 RESULT 1x1+1|2|66.5|67.3|66.5|85.9|86.4|87.1|0.0|nan|nan|85.9|86.4|52.4|53.5|433/439
single r2 RESULT 1x1+1|2|66.4|67.2|66.4|85.9|86.4|87.0|0.0|nan|nan|85.9|86.4|52.4|54.0|432/438
single r1 RESULT 2x1+1|3|33.2|67.8|33.2|173.4|174.2|176.7|0.0|nan|nan|173.4|174.2|52.4|55.6|216/222
single r2 RESULT 2x1+1|3|33.2|67.6|33.2|173.3|173.6|174.9|0.0|nan|nan|173.3|173.6|53.5|54.0|216/222
single r1 RESULT 2x2+1|5|16.6|67.8|16.6|254.7|255.9|257.3|0.0|nan|nan|254.7|255.9|52.9|55.6|108/112
single r2 RESULT 2x2+1|5|16.6|67.6|16.6|254.4|255.2|256.4|0.0|nan|nan|254.4|255.2|52.9|54.5|108/112
single r1 RESULT 3x2+1|7|11.1|67.7|11.1|314.7|315.5|317.2|0.0|nan|nan|314.7|315.5|54.0|56.8|72/75
single r2 RESULT 3x2+1|7|11.1|67.8|11.1|314.8|315.6|315.9|0.0|nan|nan|314.8|315.6|54.0|55.6|72/75
single r1 RESULT 3x3+1|10|7.4|67.6|7.4|404.7|405.0|405.2|0.0|nan|nan|404.7|405.0|55.1|56.8|48/51
single r2 RESULT 3x3+1|10|7.4|67.6|7.4|404.8|405.1|405.7|0.0|nan|nan|404.8|405.1|54.0|56.8|48/51
# === DUAL (NxM tiles + whole-frame +1, round-robin, uncapped) ===
dual r1 RESULT 2x1+1|3|16.6|68.7|16.6|347.7|348.1|353.6|33.5|146.9|206.3|347.7|348.1|54.5|57.3|108/114
dual r2 RESULT 2x1+1|3|16.6|68.6|16.6|346.8|348.3|353.6|33.4|147.1|206.4|346.8|348.3|55.1|56.8|108/114
dual r1 RESULT 2x2+1|5|8.3|68.6|8.3|472.2|473.0|494.8|33.2|156.7|206.4|472.2|473.0|55.6|55.6|54/58
dual r2 RESULT 2x2+1|5|8.3|68.5|8.3|472.1|473.1|494.9|33.4|147.0|206.4|472.1|473.1|56.8|56.8|54/58
dual r1 RESULT 3x2+1|7|5.5|68.5|5.5|614.2|614.9|615.6|33.3|147.0|206.4|614.2|614.9|55.1|57.9|36/39
dual r2 RESULT 3x2+1|7|5.5|68.6|5.5|614.2|614.9|615.5|33.4|146.9|206.3|614.2|614.9|55.6|59.0|36/39
dual r1 RESULT 3x3+1|10|3.7|68.6|3.7|812.9|813.7|824.2|33.2|163.2|206.3|812.9|813.7|56.2|56.8|24/27
dual r2 RESULT 3x3+1|10|3.7|68.6|3.7|812.5|813.2|822.5|33.4|147.6|206.5|812.5|813.2|55.1|57.3|24/27
# === DUAL at 30fps operating point ===
op30 r1 RESULT 2x1+1|3|18.5|68.1|18.5|324.2|326.5|328.0|29.5|114.0|120.6|324.2|326.5|56.2|55.6|120/126
op30 r2 RESULT 2x1+1|3|18.4|68.1|18.4|323.9|326.6|327.7|29.5|113.9|120.6|323.9|326.6|54.5|55.6|120/126
op30 r1 RESULT 2x2+1|5|9.2|68.1|9.2|464.7|466.3|468.1|29.5|113.9|120.1|464.7|466.3|54.0|54.5|60/64
op30 r2 RESULT 2x2+1|5|9.2|68.1|9.2|464.6|466.5|479.8|29.5|113.6|120.3|464.6|466.5|55.1|56.8|60/64
op30 r1 RESULT 3x2+1|7|6.2|68.1|6.2|570.0|584.4|585.0|29.5|113.8|120.5|570.0|584.4|57.3|55.1|40/43
op30 r2 RESULT 3x2+1|7|6.2|68.1|6.2|570.0|584.9|585.5|29.5|114.6|119.4|570.0|584.9|54.0|54.5|40/43
op30 r1 RESULT 3x3+1|10|4.0|68.1|4.0|734.8|736.6|750.6|29.5|113.6|120.3|734.8|736.6|54.0|54.5|26/29
op30 r2 RESULT 3x3+1|10|4.0|68.1|4.0|734.8|736.7|749.2|29.5|114.5|121.1|734.8|736.7|54.0|54.5|26/29
DONE
